business_id,yelpPage
bergen-pizza-brooklyn,https://www.yelp.com/biz/bergen-pizza-brooklyn
fort-greene-brooklyn,https://www.yelp.com/biz/fort-greene-brooklyn
starbucks-brooklyn-59,https://www.yelp.com/biz/starbucks-brooklyn-59
king-david-tacos-brooklyn,https://www.yelp.com/biz/king-david-tacos-brooklyn
the-meat-hook-at-threes-brooklyn,https://www.yelp.com/biz/the-meat-hook-at-threes-brooklyn
auntie-annes-brooklyn,https://www.yelp.com/biz/auntie-annes-brooklyn
fresh-and-co-brooklyn,https://www.yelp.com/biz/fresh-and-co-brooklyn
angelica-pizzeria-and-restaurant-brooklyn,https://www.yelp.com/biz/angelica-pizzeria-and-restaurant-brooklyn
chuangs-hing-restaurant-brooklyn,https://www.yelp.com/biz/chuangs-hing-restaurant-brooklyn
state-street-gourmet-deli-brooklyn,https://www.yelp.com/biz/state-street-gourmet-deli-brooklyn
downtown-pizza-brooklyn,https://www.yelp.com/biz/downtown-pizza-brooklyn
antojitos-el-atoradero-brooklyn-3,https://www.yelp.com/biz/antojitos-el-atoradero-brooklyn-3
subway-brooklyn-51,https://www.yelp.com/biz/subway-brooklyn-51
gourmet-garden-8-brooklyn,https://www.yelp.com/biz/gourmet-garden-8-brooklyn
home-frite-brooklyn-5,https://www.yelp.com/biz/home-frite-brooklyn-5
kindred-spirits-brooklyn,https://www.yelp.com/biz/kindred-spirits-brooklyn
brooklyn-burger-new-york,https://www.yelp.com/biz/brooklyn-burger-new-york
bian-dang-new-york-3,https://www.yelp.com/biz/bian-dang-new-york-3
burrito-bowl-grill-carroll-gardens,https://www.yelp.com/biz/burrito-bowl-grill-carroll-gardens
birds-eye-vietnamese-brooklyn,https://www.yelp.com/biz/birds-eye-vietnamese-brooklyn
100-mr-lin-brooklyn-2,https://www.yelp.com/biz/100-mr-lin-brooklyn-2
215-fine-food-deli-brooklyn-2,https://www.yelp.com/biz/215-fine-food-deli-brooklyn-2
smith-express-food-corporation-brooklyn,https://www.yelp.com/biz/smith-express-food-corporation-brooklyn
new-king-food-kitchen-brooklyn,https://www.yelp.com/biz/new-king-food-kitchen-brooklyn
marios-pizzeria-brooklyn-3,https://www.yelp.com/biz/marios-pizzeria-brooklyn-3
finest-deli-and-smokeshop-brooklyn,https://www.yelp.com/biz/finest-deli-and-smokeshop-brooklyn
farm-shop-deli-brooklyn,https://www.yelp.com/biz/farm-shop-deli-brooklyn
dunkin-donuts-brooklyn-83,https://www.yelp.com/biz/dunkin-donuts-brooklyn-83
mcdonalds-brooklyn-26,https://www.yelp.com/biz/mcdonalds-brooklyn-26
dekalb-deli-brooklyn,https://www.yelp.com/biz/dekalb-deli-brooklyn
a-and-j-brooklyn,https://www.yelp.com/biz/a-and-j-brooklyn
baskin-robbins-brooklyn-22,https://www.yelp.com/biz/baskin-robbins-brooklyn-22
dekalb-bagels-new-york,https://www.yelp.com/biz/dekalb-bagels-new-york
new-vanderbilt-deli-and-grocery-prospect-heights,https://www.yelp.com/biz/new-vanderbilt-deli-and-grocery-prospect-heights
metro-buffet-brooklyn,https://www.yelp.com/biz/metro-buffet-brooklyn
one-hanson-place-fort-greene,https://www.yelp.com/biz/one-hanson-place-fort-greene
pacific-park-arts-brooklyn,https://www.yelp.com/biz/pacific-park-arts-brooklyn
hoyt-st-market-and-deli-brooklyn,https://www.yelp.com/biz/hoyt-st-market-and-deli-brooklyn
z-7-classic-diner-brooklyn,https://www.yelp.com/biz/z-7-classic-diner-brooklyn
mural-on-nu-hotel-brooklyn,https://www.yelp.com/biz/mural-on-nu-hotel-brooklyn
greenspace-president-street-brooklyn,https://www.yelp.com/biz/greenspace-president-street-brooklyn
elberih-deli-brooklyn,https://www.yelp.com/biz/elberih-deli-brooklyn
davids-k-deli-prospect-heights,https://www.yelp.com/biz/davids-k-deli-prospect-heights
